Subkey 1:	00000000010100000010110010101100111111111111111111111111
Subkey 2:	00000000010100001010110010100100111111111111111111111111
Subkey 3:	00000000110100001010110000100110111111111111111111111111
Subkey 4:	00000000111000001010011000100110111111111111111111111111
Subkey 5:	00000000111000001001011000100110111111111111111111111111
Subkey 6:	00000000111000001001001001110010111111111111111111111111
Subkey 7:	00000000101001001101001001110010111111111111111111111111
Subkey 8:	00000000101001100101001101010010111111111111111111111111
Subkey 9:	00000000001001100101001101010011111111111111111111111111
Subkey 10:	00000000001011110101000101010001111111111111111111111111
Subkey 11:	00000000000011110100000111011001111111111111111111111111
Subkey 12:	00000000000111110100000110011001111111111111111111111111
Subkey 13:	00000000000111110000100110001001111111111111111111111111
Subkey 14:	00000000000110110010100010001101111111111111111111111111
Subkey 15:	00000000000110010010110010001100111111111111111111111111
Subkey 16:	00000000010100010010110010001100111111111111111111111111
